,ReportDt,Unit,Power
0,12/31/2009,Arkansas Nuclear 1,100
1,12/31/2009,Arkansas Nuclear 2,100
2,12/31/2009,Beaver Valley 1,100
3,12/31/2009,Beaver Valley 2,100
4,12/31/2009,Braidwood 1,100
5,12/31/2009,Braidwood 2,100
6,12/31/2009,Browns Ferry 1,70
7,12/31/2009,Browns Ferry 2,100
8,12/31/2009,Browns Ferry 3,100
9,12/31/2009,Brunswick 1,100
10,12/31/2009,Brunswick 2,100
11,12/31/2009,Byron 1,100
12,12/31/2009,Byron 2,100
13,12/31/2009,Callaway,100
14,12/31/2009,Calvert Cliffs 1,100
15,12/31/2009,Calvert Cliffs 2,100
16,12/31/2009,Catawba 1,100
17,12/31/2009,Catawba 2,100
18,12/31/2009,Clinton,90
19,12/31/2009,Columbia Generating Station,100
20,12/31/2009,Comanche Peak 1,100
21,12/31/2009,Comanche Peak 2,100
22,12/31/2009,Cooper,100
23,12/31/2009,Crystal River 3,0
24,12/31/2009,D.C. Cook 1,100
25,12/31/2009,D.C. Cook 2,100
26,12/31/2009,Davis-Besse,100
27,12/31/2009,Diablo Canyon 1,100
28,12/31/2009,Diablo Canyon 2,100
29,12/31/2009,Dresden 2,99
30,12/31/2009,Dresden 3,99
31,12/31/2009,Duane Arnold,100
32,12/31/2009,Farley 1,100
33,12/31/2009,Farley 2,100
34,12/31/2009,Fermi 2,100
35,12/31/2009,FitzPatrick,100
36,12/31/2009,Fort Calhoun,100
37,12/31/2009,Ginna,0
38,12/31/2009,Grand Gulf 1,100
39,12/31/2009,Harris 1,100
40,12/31/2009,Hatch 1,100
41,12/31/2009,Hatch 2,100
42,12/31/2009,Hope Creek 1,100
43,12/31/2009,Indian Point 2,100
44,12/31/2009,Indian Point 3,100
45,12/31/2009,Kewaunee,100
46,12/31/2009,La Salle 1,100
47,12/31/2009,La Salle 2,100
48,12/31/2009,Limerick 1,100
49,12/31/2009,Limerick 2,100
50,12/31/2009,McGuire 1,100
51,12/31/2009,McGuire 2,100
52,12/31/2009,Millstone 2,100
53,12/31/2009,Millstone 3,0
54,12/31/2009,Monticello,100
55,12/31/2009,Nine Mile Point 1,100
56,12/31/2009,Nine Mile Point 2,100
57,12/31/2009,North Anna 1,100
58,12/31/2009,North Anna 2,100
59,12/31/2009,Oconee 1,100
60,12/31/2009,Oconee 2,100
61,12/31/2009,Oconee 3,100
62,12/31/2009,Oyster Creek,100
63,12/31/2009,Palisades,100
64,12/31/2009,Palo Verde 1,100
65,12/31/2009,Palo Verde 2,100
66,12/31/2009,Palo Verde 3,100
67,12/31/2009,Peach Bottom 2,100
68,12/31/2009,Peach Bottom 3,100
69,12/31/2009,Perry 1,100
70,12/31/2009,Pilgrim 1,100
71,12/31/2009,Point Beach 1,100
72,12/31/2009,Point Beach 2,100
73,12/31/2009,Prairie Island 1,100
74,12/31/2009,Prairie Island 2,100
75,12/31/2009,Quad Cities 1,100
76,12/31/2009,Quad Cities 2,100
77,12/31/2009,River Bend 1,100
78,12/31/2009,Robinson 2,100
79,12/31/2009,Saint Lucie 1,100
80,12/31/2009,Saint Lucie 2,100
81,12/31/2009,Salem 1,100
82,12/31/2009,Salem 2,100
83,12/31/2009,San Onofre 2,0
84,12/31/2009,San Onofre 3,99
85,12/31/2009,Seabrook 1,100
86,12/31/2009,Sequoyah 1,100
87,12/31/2009,Sequoyah 2,100
88,12/31/2009,South Texas 1,100
89,12/31/2009,South Texas 2,100
90,12/31/2009,Summer,100
91,12/31/2009,Surry 1,100
92,12/31/2009,Surry 2,100
93,12/31/2009,Susquehanna 1,94
94,12/31/2009,Susquehanna 2,94
95,12/31/2009,Three Mile Island 1,0
96,12/31/2009,Turkey Point 3,100
97,12/31/2009,Turkey Point 4,100
98,12/31/2009,Vermont Yankee,100
99,12/31/2009,Vogtle 1,100
100,12/31/2009,Vogtle 2,100
101,12/31/2009,Waterford 3,100
102,12/31/2009,Watts Bar 1,100
103,12/31/2009,Wolf Creek 1,100
104,12/30/2009,Arkansas Nuclear 1,100
105,12/30/2009,Arkansas Nuclear 2,100
106,12/30/2009,Beaver Valley 1,100
107,12/30/2009,Beaver Valley 2,100
108,12/30/2009,Braidwood 1,100
109,12/30/2009,Braidwood 2,100
110,12/30/2009,Browns Ferry 1,70
111,12/30/2009,Browns Ferry 2,100
112,12/30/2009,Browns Ferry 3,100
113,12/30/2009,Brunswick 1,100
114,12/30/2009,Brunswick 2,100
115,12/30/2009,Byron 1,100
116,12/30/2009,Byron 2,100
117,12/30/2009,Callaway,100
118,12/30/2009,Calvert Cliffs 1,100
119,12/30/2009,Calvert Cliffs 2,100
120,12/30/2009,Catawba 1,100
121,12/30/2009,Catawba 2,100
122,12/30/2009,Clinton,91
123,12/30/2009,Columbia Generating Station,100
124,12/30/2009,Comanche Peak 1,100
125,12/30/2009,Comanche Peak 2,100
126,12/30/2009,Cooper,100
127,12/30/2009,Crystal River 3,0
128,12/30/2009,D.C. Cook 1,100
129,12/30/2009,D.C. Cook 2,100
130,12/30/2009,Davis-Besse,100
131,12/30/2009,Diablo Canyon 1,100
132,12/30/2009,Diablo Canyon 2,100
133,12/30/2009,Dresden 2,99
134,12/30/2009,Dresden 3,99
135,12/30/2009,Duane Arnold,100
136,12/30/2009,Farley 1,100
137,12/30/2009,Farley 2,100
138,12/30/2009,Fermi 2,100
139,12/30/2009,FitzPatrick,100
140,12/30/2009,Fort Calhoun,98
141,12/30/2009,Ginna,100
142,12/30/2009,Grand Gulf 1,100
143,12/30/2009,Harris 1,100
144,12/30/2009,Hatch 1,100
145,12/30/2009,Hatch 2,100
146,12/30/2009,Hope Creek 1,100
147,12/30/2009,Indian Point 2,100
148,12/30/2009,Indian Point 3,100
149,12/30/2009,Kewaunee,100
150,12/30/2009,La Salle 1,100
151,12/30/2009,La Salle 2,100
152,12/30/2009,Limerick 1,100
153,12/30/2009,Limerick 2,100
154,12/30/2009,McGuire 1,97
155,12/30/2009,McGuire 2,100
156,12/30/2009,Millstone 2,100
157,12/30/2009,Millstone 3,0
158,12/30/2009,Monticello,100
159,12/30/2009,Nine Mile Point 1,100
160,12/30/2009,Nine Mile Point 2,100
161,12/30/2009,North Anna 1,100
162,12/30/2009,North Anna 2,100
163,12/30/2009,Oconee 1,100
164,12/30/2009,Oconee 2,100
165,12/30/2009,Oconee 3,100
166,12/30/2009,Oyster Creek,100
167,12/30/2009,Palisades,100
168,12/30/2009,Palo Verde 1,100
169,12/30/2009,Palo Verde 2,100
170,12/30/2009,Palo Verde 3,100
171,12/30/2009,Peach Bottom 2,100
172,12/30/2009,Peach Bottom 3,100
173,12/30/2009,Perry 1,100
174,12/30/2009,Pilgrim 1,100
175,12/30/2009,Point Beach 1,100
176,12/30/2009,Point Beach 2,100
177,12/30/2009,Prairie Island 1,100
178,12/30/2009,Prairie Island 2,100
179,12/30/2009,Quad Cities 1,100
180,12/30/2009,Quad Cities 2,100
181,12/30/2009,River Bend 1,100
182,12/30/2009,Robinson 2,100
183,12/30/2009,Saint Lucie 1,100
184,12/30/2009,Saint Lucie 2,100
185,12/30/2009,Salem 1,100
186,12/30/2009,Salem 2,100
187,12/30/2009,San Onofre 2,0
188,12/30/2009,San Onofre 3,99
189,12/30/2009,Seabrook 1,100
190,12/30/2009,Sequoyah 1,100
191,12/30/2009,Sequoyah 2,100
192,12/30/2009,South Texas 1,100
193,12/30/2009,South Texas 2,100
194,12/30/2009,Summer,100
195,12/30/2009,Surry 1,100
196,12/30/2009,Surry 2,100
197,12/30/2009,Susquehanna 1,94
198,12/30/2009,Susquehanna 2,94
199,12/30/2009,Three Mile Island 1,0
200,12/30/2009,Turkey Point 3,100
201,12/30/2009,Turkey Point 4,100
202,12/30/2009,Vermont Yankee,100
203,12/30/2009,Vogtle 1,100
204,12/30/2009,Vogtle 2,100
205,12/30/2009,Waterford 3,100
206,12/30/2009,Watts Bar 1,100
207,12/30/2009,Wolf Creek 1,100
208,12/29/2009,Arkansas Nuclear 1,100
209,12/29/2009,Arkansas Nuclear 2,100
210,12/29/2009,Beaver Valley 1,100
211,12/29/2009,Beaver Valley 2,100
212,12/29/2009,Braidwood 1,100
213,12/29/2009,Braidwood 2,100
214,12/29/2009,Browns Ferry 1,100
215,12/29/2009,Browns Ferry 2,100
216,12/29/2009,Browns Ferry 3,100
217,12/29/2009,Brunswick 1,100
218,12/29/2009,Brunswick 2,100
219,12/29/2009,Byron 1,100
220,12/29/2009,Byron 2,100
221,12/29/2009,Callaway,100
222,12/29/2009,Calvert Cliffs 1,100
223,12/29/2009,Calvert Cliffs 2,100
224,12/29/2009,Catawba 1,100
225,12/29/2009,Catawba 2,100
226,12/29/2009,Clinton,91
227,12/29/2009,Columbia Generating Station,100
228,12/29/2009,Comanche Peak 1,100
229,12/29/2009,Comanche Peak 2,100
230,12/29/2009,Cooper,100
231,12/29/2009,Crystal River 3,0
232,12/29/2009,D.C. Cook 1,100
233,12/29/2009,D.C. Cook 2,100
234,12/29/2009,Davis-Besse,100
235,12/29/2009,Diablo Canyon 1,100
236,12/29/2009,Diablo Canyon 2,100
237,12/29/2009,Dresden 2,99
238,12/29/2009,Dresden 3,99
239,12/29/2009,Duane Arnold,100
240,12/29/2009,Farley 1,100
241,12/29/2009,Farley 2,100
242,12/29/2009,Fermi 2,100
243,12/29/2009,FitzPatrick,100
244,12/29/2009,Fort Calhoun,92
245,12/29/2009,Ginna,100
246,12/29/2009,Grand Gulf 1,100
247,12/29/2009,Harris 1,100
248,12/29/2009,Hatch 1,100
249,12/29/2009,Hatch 2,100
250,12/29/2009,Hope Creek 1,100
251,12/29/2009,Indian Point 2,100
252,12/29/2009,Indian Point 3,100
253,12/29/2009,Kewaunee,100
254,12/29/2009,La Salle 1,100
255,12/29/2009,La Salle 2,100
256,12/29/2009,Limerick 1,100
257,12/29/2009,Limerick 2,100
258,12/29/2009,McGuire 1,100
259,12/29/2009,McGuire 2,100
260,12/29/2009,Millstone 2,100
261,12/29/2009,Millstone 3,0
262,12/29/2009,Monticello,100
263,12/29/2009,Nine Mile Point 1,100
264,12/29/2009,Nine Mile Point 2,100
265,12/29/2009,North Anna 1,100
266,12/29/2009,North Anna 2,100
267,12/29/2009,Oconee 1,100
268,12/29/2009,Oconee 2,100
269,12/29/2009,Oconee 3,100
270,12/29/2009,Oyster Creek,100
271,12/29/2009,Palisades,100
272,12/29/2009,Palo Verde 1,100
273,12/29/2009,Palo Verde 2,100
274,12/29/2009,Palo Verde 3,100
275,12/29/2009,Peach Bottom 2,100
276,12/29/2009,Peach Bottom 3,100
277,12/29/2009,Perry 1,100
278,12/29/2009,Pilgrim 1,100
279,12/29/2009,Point Beach 1,100
280,12/29/2009,Point Beach 2,100
281,12/29/2009,Prairie Island 1,100
282,12/29/2009,Prairie Island 2,100
283,12/29/2009,Quad Cities 1,100
284,12/29/2009,Quad Cities 2,100
285,12/29/2009,River Bend 1,100
286,12/29/2009,Robinson 2,100
287,12/29/2009,Saint Lucie 1,100
288,12/29/2009,Saint Lucie 2,100
289,12/29/2009,Salem 1,100
290,12/29/2009,Salem 2,100
291,12/29/2009,San Onofre 2,0
292,12/29/2009,San Onofre 3,99
293,12/29/2009,Seabrook 1,100
294,12/29/2009,Sequoyah 1,100
295,12/29/2009,Sequoyah 2,100
296,12/29/2009,South Texas 1,100
297,12/29/2009,South Texas 2,100
298,12/29/2009,Summer,100
299,12/29/2009,Surry 1,100
300,12/29/2009,Surry 2,100
301,12/29/2009,Susquehanna 1,94
302,12/29/2009,Susquehanna 2,94
303,12/29/2009,Three Mile Island 1,0
304,12/29/2009,Turkey Point 3,100
305,12/29/2009,Turkey Point 4,100
306,12/29/2009,Vermont Yankee,100
307,12/29/2009,Vogtle 1,100
308,12/29/2009,Vogtle 2,99
309,12/29/2009,Waterford 3,100
310,12/29/2009,Watts Bar 1,100
311,12/29/2009,Wolf Creek 1,100
312,12/28/2009,Arkansas Nuclear 1,100
313,12/28/2009,Arkansas Nuclear 2,100
314,12/28/2009,Beaver Valley 1,100
315,12/28/2009,Beaver Valley 2,100
316,12/28/2009,Braidwood 1,100
317,12/28/2009,Braidwood 2,100
318,12/28/2009,Browns Ferry 1,100
319,12/28/2009,Browns Ferry 2,100
320,12/28/2009,Browns Ferry 3,100
321,12/28/2009,Brunswick 1,100
322,12/28/2009,Brunswick 2,100
323,12/28/2009,Byron 1,100
324,12/28/2009,Byron 2,100
325,12/28/2009,Callaway,100
326,12/28/2009,Calvert Cliffs 1,100
327,12/28/2009,Calvert Cliffs 2,100
328,12/28/2009,Catawba 1,100
329,12/28/2009,Catawba 2,100
330,12/28/2009,Clinton,91
331,12/28/2009,Columbia Generating Station,100
332,12/28/2009,Comanche Peak 1,100
333,12/28/2009,Comanche Peak 2,100
334,12/28/2009,Cooper,100
335,12/28/2009,Crystal River 3,0
336,12/28/2009,D.C. Cook 1,100
337,12/28/2009,D.C. Cook 2,100
338,12/28/2009,Davis-Besse,100
339,12/28/2009,Diablo Canyon 1,100
340,12/28/2009,Diablo Canyon 2,100
341,12/28/2009,Dresden 2,99
342,12/28/2009,Dresden 3,99
343,12/28/2009,Duane Arnold,100
344,12/28/2009,Farley 1,100
345,12/28/2009,Farley 2,100
346,12/28/2009,Fermi 2,100
347,12/28/2009,FitzPatrick,100
348,12/28/2009,Fort Calhoun,66
349,12/28/2009,Ginna,100
350,12/28/2009,Grand Gulf 1,100
351,12/28/2009,Harris 1,100
352,12/28/2009,Hatch 1,100
353,12/28/2009,Hatch 2,100
354,12/28/2009,Hope Creek 1,100
355,12/28/2009,Indian Point 2,100
356,12/28/2009,Indian Point 3,100
357,12/28/2009,Kewaunee,100
358,12/28/2009,La Salle 1,100
359,12/28/2009,La Salle 2,100
360,12/28/2009,Limerick 1,100
361,12/28/2009,Limerick 2,100
362,12/28/2009,McGuire 1,100
363,12/28/2009,McGuire 2,100
364,12/28/2009,Millstone 2,100
365,12/28/2009,Millstone 3,0
366,12/28/2009,Monticello,100
367,12/28/2009,Nine Mile Point 1,100
368,12/28/2009,Nine Mile Point 2,100
369,12/28/2009,North Anna 1,100
370,12/28/2009,North Anna 2,100
371,12/28/2009,Oconee 1,100
372,12/28/2009,Oconee 2,100
373,12/28/2009,Oconee 3,100
374,12/28/2009,Oyster Creek,100
375,12/28/2009,Palisades,100
376,12/28/2009,Palo Verde 1,100
377,12/28/2009,Palo Verde 2,100
378,12/28/2009,Palo Verde 3,100
379,12/28/2009,Peach Bottom 2,100
380,12/28/2009,Peach Bottom 3,100
381,12/28/2009,Perry 1,100
382,12/28/2009,Pilgrim 1,100
383,12/28/2009,Point Beach 1,100
384,12/28/2009,Point Beach 2,100
385,12/28/2009,Prairie Island 1,100
386,12/28/2009,Prairie Island 2,100
387,12/28/2009,Quad Cities 1,100
388,12/28/2009,Quad Cities 2,100
389,12/28/2009,River Bend 1,100
390,12/28/2009,Robinson 2,100
391,12/28/2009,Saint Lucie 1,100
392,12/28/2009,Saint Lucie 2,100
393,12/28/2009,Salem 1,100
394,12/28/2009,Salem 2,100
395,12/28/2009,San Onofre 2,0
396,12/28/2009,San Onofre 3,99
397,12/28/2009,Seabrook 1,100
398,12/28/2009,Sequoyah 1,100
399,12/28/2009,Sequoyah 2,100
400,12/28/2009,South Texas 1,100
401,12/28/2009,South Texas 2,100
402,12/28/2009,Summer,100
403,12/28/2009,Surry 1,100
404,12/28/2009,Surry 2,100
405,12/28/2009,Susquehanna 1,94
406,12/28/2009,Susquehanna 2,94
407,12/28/2009,Three Mile Island 1,0
408,12/28/2009,Turkey Point 3,100
409,12/28/2009,Turkey Point 4,100
410,12/28/2009,Vermont Yankee,100
411,12/28/2009,Vogtle 1,100
412,12/28/2009,Vogtle 2,93
413,12/28/2009,Waterford 3,100
414,12/28/2009,Watts Bar 1,100
415,12/28/2009,Wolf Creek 1,100
416,12/27/2009,Arkansas Nuclear 1,100
417,12/27/2009,Arkansas Nuclear 2,100
418,12/27/2009,Beaver Valley 1,100
419,12/27/2009,Beaver Valley 2,100
420,12/27/2009,Braidwood 1,100
421,12/27/2009,Braidwood 2,100
422,12/27/2009,Browns Ferry 1,100
423,12/27/2009,Browns Ferry 2,100
424,12/27/2009,Browns Ferry 3,100
425,12/27/2009,Brunswick 1,100
426,12/27/2009,Brunswick 2,100
427,12/27/2009,Byron 1,100
428,12/27/2009,Byron 2,100
429,12/27/2009,Callaway,100
430,12/27/2009,Calvert Cliffs 1,100
431,12/27/2009,Calvert Cliffs 2,100
432,12/27/2009,Catawba 1,100
433,12/27/2009,Catawba 2,100
434,12/27/2009,Clinton,91
435,12/27/2009,Columbia Generating Station,100
436,12/27/2009,Comanche Peak 1,100
437,12/27/2009,Comanche Peak 2,100
438,12/27/2009,Cooper,100
439,12/27/2009,Crystal River 3,0
440,12/27/2009,D.C. Cook 1,100
441,12/27/2009,D.C. Cook 2,100
442,12/27/2009,Davis-Besse,100
443,12/27/2009,Diablo Canyon 1,100
444,12/27/2009,Diablo Canyon 2,100
445,12/27/2009,Dresden 2,99
446,12/27/2009,Dresden 3,99
447,12/27/2009,Duane Arnold,100
448,12/27/2009,Farley 1,100
449,12/27/2009,Farley 2,100
450,12/27/2009,Fermi 2,100
451,12/27/2009,FitzPatrick,100
452,12/27/2009,Fort Calhoun,66
453,12/27/2009,Ginna,100
454,12/27/2009,Grand Gulf 1,100
455,12/27/2009,Harris 1,100
456,12/27/2009,Hatch 1,100
457,12/27/2009,Hatch 2,100
458,12/27/2009,Hope Creek 1,100
459,12/27/2009,Indian Point 2,100
460,12/27/2009,Indian Point 3,100
461,12/27/2009,Kewaunee,100
462,12/27/2009,La Salle 1,100
463,12/27/2009,La Salle 2,100
464,12/27/2009,Limerick 1,100
465,12/27/2009,Limerick 2,100
466,12/27/2009,McGuire 1,100
467,12/27/2009,McGuire 2,100
468,12/27/2009,Millstone 2,100
469,12/27/2009,Millstone 3,0
470,12/27/2009,Monticello,100
471,12/27/2009,Nine Mile Point 1,100
472,12/27/2009,Nine Mile Point 2,100
473,12/27/2009,North Anna 1,100
474,12/27/2009,North Anna 2,100
475,12/27/2009,Oconee 1,100
476,12/27/2009,Oconee 2,100
477,12/27/2009,Oconee 3,100
478,12/27/2009,Oyster Creek,100
479,12/27/2009,Palisades,100
480,12/27/2009,Palo Verde 1,100
481,12/27/2009,Palo Verde 2,100
482,12/27/2009,Palo Verde 3,100
483,12/27/2009,Peach Bottom 2,100
484,12/27/2009,Peach Bottom 3,100
485,12/27/2009,Perry 1,100
486,12/27/2009,Pilgrim 1,100
487,12/27/2009,Point Beach 1,100
488,12/27/2009,Point Beach 2,100
489,12/27/2009,Prairie Island 1,100
490,12/27/2009,Prairie Island 2,100
491,12/27/2009,Quad Cities 1,100
492,12/27/2009,Quad Cities 2,100
493,12/27/2009,River Bend 1,100
494,12/27/2009,Robinson 2,100
495,12/27/2009,Saint Lucie 1,100
496,12/27/2009,Saint Lucie 2,100
497,12/27/2009,Salem 1,100
498,12/27/2009,Salem 2,100
499,12/27/2009,San Onofre 2,0
500,12/27/2009,San Onofre 3,99
501,12/27/2009,Seabrook 1,100
502,12/27/2009,Sequoyah 1,100
503,12/27/2009,Sequoyah 2,100
504,12/27/2009,South Texas 1,100
505,12/27/2009,South Texas 2,100
506,12/27/2009,Summer,100
507,12/27/2009,Surry 1,100
508,12/27/2009,Surry 2,100
509,12/27/2009,Susquehanna 1,94
510,12/27/2009,Susquehanna 2,94
511,12/27/2009,Three Mile Island 1,0
512,12/27/2009,Turkey Point 3,100
513,12/27/2009,Turkey Point 4,100
514,12/27/2009,Vermont Yankee,100
515,12/27/2009,Vogtle 1,100
516,12/27/2009,Vogtle 2,79
517,12/27/2009,Waterford 3,100
518,12/27/2009,Watts Bar 1,100
519,12/27/2009,Wolf Creek 1,100
520,12/26/2009,Arkansas Nuclear 1,100
521,12/26/2009,Arkansas Nuclear 2,100
522,12/26/2009,Beaver Valley 1,100
523,12/26/2009,Beaver Valley 2,100
524,12/26/2009,Braidwood 1,100
525,12/26/2009,Braidwood 2,100
526,12/26/2009,Browns Ferry 1,100
527,12/26/2009,Browns Ferry 2,100
528,12/26/2009,Browns Ferry 3,100
529,12/26/2009,Brunswick 1,100
530,12/26/2009,Brunswick 2,100
531,12/26/2009,Byron 1,100
532,12/26/2009,Byron 2,100
533,12/26/2009,Callaway,100
534,12/26/2009,Calvert Cliffs 1,100
535,12/26/2009,Calvert Cliffs 2,100
536,12/26/2009,Catawba 1,100
537,12/26/2009,Catawba 2,100
538,12/26/2009,Clinton,92
539,12/26/2009,Columbia Generating Station,100
540,12/26/2009,Comanche Peak 1,100
541,12/26/2009,Comanche Peak 2,100
542,12/26/2009,Cooper,100
543,12/26/2009,Crystal River 3,0
544,12/26/2009,D.C. Cook 1,100
545,12/26/2009,D.C. Cook 2,100
546,12/26/2009,Davis-Besse,100
547,12/26/2009,Diablo Canyon 1,100
548,12/26/2009,Diablo Canyon 2,100
549,12/26/2009,Dresden 2,99
550,12/26/2009,Dresden 3,99
551,12/26/2009,Duane Arnold,100
552,12/26/2009,Farley 1,100
553,12/26/2009,Farley 2,100
554,12/26/2009,Fermi 2,100
555,12/26/2009,FitzPatrick,100
556,12/26/2009,Fort Calhoun,66
557,12/26/2009,Ginna,100
558,12/26/2009,Grand Gulf 1,100
559,12/26/2009,Harris 1,100
560,12/26/2009,Hatch 1,100
561,12/26/2009,Hatch 2,100
562,12/26/2009,Hope Creek 1,100
563,12/26/2009,Indian Point 2,100
564,12/26/2009,Indian Point 3,100
565,12/26/2009,Kewaunee,100
566,12/26/2009,La Salle 1,100
567,12/26/2009,La Salle 2,100
568,12/26/2009,Limerick 1,100
569,12/26/2009,Limerick 2,100
570,12/26/2009,McGuire 1,100
571,12/26/2009,McGuire 2,100
572,12/26/2009,Millstone 2,100
573,12/26/2009,Millstone 3,0
574,12/26/2009,Monticello,100
575,12/26/2009,Nine Mile Point 1,100
576,12/26/2009,Nine Mile Point 2,100
577,12/26/2009,North Anna 1,100
578,12/26/2009,North Anna 2,100
579,12/26/2009,Oconee 1,100
580,12/26/2009,Oconee 2,100
581,12/26/2009,Oconee 3,100
582,12/26/2009,Oyster Creek,100
583,12/26/2009,Palisades,100
584,12/26/2009,Palo Verde 1,100
585,12/26/2009,Palo Verde 2,100
586,12/26/2009,Palo Verde 3,100
587,12/26/2009,Peach Bottom 2,100
588,12/26/2009,Peach Bottom 3,100
589,12/26/2009,Perry 1,100
590,12/26/2009,Pilgrim 1,100
591,12/26/2009,Point Beach 1,100
592,12/26/2009,Point Beach 2,100
593,12/26/2009,Prairie Island 1,100
594,12/26/2009,Prairie Island 2,100
595,12/26/2009,Quad Cities 1,100
596,12/26/2009,Quad Cities 2,100
597,12/26/2009,River Bend 1,100
598,12/26/2009,Robinson 2,100
599,12/26/2009,Saint Lucie 1,100
600,12/26/2009,Saint Lucie 2,100
601,12/26/2009,Salem 1,100
602,12/26/2009,Salem 2,100
603,12/26/2009,San Onofre 2,0
604,12/26/2009,San Onofre 3,99
605,12/26/2009,Seabrook 1,96
606,12/26/2009,Sequoyah 1,100
607,12/26/2009,Sequoyah 2,100
608,12/26/2009,South Texas 1,100
609,12/26/2009,South Texas 2,100
610,12/26/2009,Summer,100
611,12/26/2009,Surry 1,100
612,12/26/2009,Surry 2,100
613,12/26/2009,Susquehanna 1,94
614,12/26/2009,Susquehanna 2,94
615,12/26/2009,Three Mile Island 1,0
616,12/26/2009,Turkey Point 3,100
617,12/26/2009,Turkey Point 4,100
618,12/26/2009,Vermont Yankee,100
619,12/26/2009,Vogtle 1,100
620,12/26/2009,Vogtle 2,40
621,12/26/2009,Waterford 3,100
622,12/26/2009,Watts Bar 1,100
623,12/26/2009,Wolf Creek 1,100
624,12/25/2009,Arkansas Nuclear 1,100
625,12/25/2009,Arkansas Nuclear 2,100
626,12/25/2009,Beaver Valley 1,100
627,12/25/2009,Beaver Valley 2,100
628,12/25/2009,Braidwood 1,100
629,12/25/2009,Braidwood 2,100
630,12/25/2009,Browns Ferry 1,100
631,12/25/2009,Browns Ferry 2,100
632,12/25/2009,Browns Ferry 3,100
633,12/25/2009,Brunswick 1,100
634,12/25/2009,Brunswick 2,100
635,12/25/2009,Byron 1,100
636,12/25/2009,Byron 2,100
637,12/25/2009,Callaway,100
638,12/25/2009,Calvert Cliffs 1,100
639,12/25/2009,Calvert Cliffs 2,100
640,12/25/2009,Catawba 1,100
641,12/25/2009,Catawba 2,100
642,12/25/2009,Clinton,92
643,12/25/2009,Columbia Generating Station,100
644,12/25/2009,Comanche Peak 1,100
645,12/25/2009,Comanche Peak 2,100
646,12/25/2009,Cooper,100
647,12/25/2009,Crystal River 3,0
648,12/25/2009,D.C. Cook 1,100
649,12/25/2009,D.C. Cook 2,100
650,12/25/2009,Davis-Besse,100
651,12/25/2009,Diablo Canyon 1,100
652,12/25/2009,Diablo Canyon 2,100
653,12/25/2009,Dresden 2,99
654,12/25/2009,Dresden 3,99
655,12/25/2009,Duane Arnold,100
656,12/25/2009,Farley 1,100
657,12/25/2009,Farley 2,100
658,12/25/2009,Fermi 2,100
659,12/25/2009,FitzPatrick,100
660,12/25/2009,Fort Calhoun,66
661,12/25/2009,Ginna,100
662,12/25/2009,Grand Gulf 1,100
663,12/25/2009,Harris 1,100
664,12/25/2009,Hatch 1,100
665,12/25/2009,Hatch 2,100
666,12/25/2009,Hope Creek 1,100
667,12/25/2009,Indian Point 2,100
668,12/25/2009,Indian Point 3,100
669,12/25/2009,Kewaunee,100
670,12/25/2009,La Salle 1,100
671,12/25/2009,La Salle 2,100
672,12/25/2009,Limerick 1,100
673,12/25/2009,Limerick 2,100
674,12/25/2009,McGuire 1,100
675,12/25/2009,McGuire 2,100
676,12/25/2009,Millstone 2,100
677,12/25/2009,Millstone 3,0
678,12/25/2009,Monticello,100
679,12/25/2009,Nine Mile Point 1,100
680,12/25/2009,Nine Mile Point 2,100
681,12/25/2009,North Anna 1,100
682,12/25/2009,North Anna 2,100
683,12/25/2009,Oconee 1,100
684,12/25/2009,Oconee 2,100
685,12/25/2009,Oconee 3,100
686,12/25/2009,Oyster Creek,100
687,12/25/2009,Palisades,100
688,12/25/2009,Palo Verde 1,100
689,12/25/2009,Palo Verde 2,100
690,12/25/2009,Palo Verde 3,100
691,12/25/2009,Peach Bottom 2,100
692,12/25/2009,Peach Bottom 3,100
693,12/25/2009,Perry 1,100
694,12/25/2009,Pilgrim 1,100
695,12/25/2009,Point Beach 1,100
696,12/25/2009,Point Beach 2,100
697,12/25/2009,Prairie Island 1,100
698,12/25/2009,Prairie Island 2,100
699,12/25/2009,Quad Cities 1,100
700,12/25/2009,Quad Cities 2,100
701,12/25/2009,River Bend 1,100
702,12/25/2009,Robinson 2,100
703,12/25/2009,Saint Lucie 1,100
704,12/25/2009,Saint Lucie 2,100
705,12/25/2009,Salem 1,100
706,12/25/2009,Salem 2,100
707,12/25/2009,San Onofre 2,0
708,12/25/2009,San Onofre 3,100
709,12/25/2009,Seabrook 1,85
710,12/25/2009,Sequoyah 1,100
711,12/25/2009,Sequoyah 2,100
712,12/25/2009,South Texas 1,100
713,12/25/2009,South Texas 2,100
714,12/25/2009,Summer,100
715,12/25/2009,Surry 1,100
716,12/25/2009,Surry 2,100
717,12/25/2009,Susquehanna 1,94
718,12/25/2009,Susquehanna 2,94
719,12/25/2009,Three Mile Island 1,0
720,12/25/2009,Turkey Point 3,100
721,12/25/2009,Turkey Point 4,100
722,12/25/2009,Vermont Yankee,100
723,12/25/2009,Vogtle 1,100
724,12/25/2009,Vogtle 2,19
725,12/25/2009,Waterford 3,100
726,12/25/2009,Watts Bar 1,100
727,12/25/2009,Wolf Creek 1,100
728,12/24/2009,Arkansas Nuclear 1,100
729,12/24/2009,Arkansas Nuclear 2,100
